"name","run.no.in.std.order","run.no","run.no.std.rp","version","threads","Blocks","time"
"480","21",480,"21.14","base","10",".14",""
"481","27",481,"27.14","critical","20",".14",""
"482","5",482,"5.14","seq","1",".14",""
"483","14",483,"14.14","reduction","4",".14",""
"484","35",484,"35.14","seq","40",".14",""
"485","6",485,"6.14","base","2",".14",""
"486","15",486,"15.14","seq","4",".14",""
"487","1",487,"1.14","base","1",".14",""
"488","25",488,"25.14","seq","10",".14",""
"489","17",489,"17.14","critical","8",".14",""
"490","16",490,"16.14","base","8",".14",""
"491","22",491,"22.15","critical","10",".15",""
"492","27",492,"27.15","critical","20",".15",""
"493","9",493,"9.15","reduction","2",".15",""
"494","8",494,"8.15","false_sharing","2",".15",""
"495","15",495,"15.15","seq","4",".15",""
"496","13",496,"13.15","false_sharing","4",".15",""
"497","17",497,"17.15","critical","8",".15",""
"498","16",498,"16.15","base","8",".15",""
"499","14",499,"14.15","reduction","4",".15",""
"500","3",500,"3.15","false_sharing","1",".15",""
"501","11",501,"11.15","base","4",".15",""
"502","5",502,"5.15","seq","1",".15",""
"503","31",503,"31.15","base","40",".15",""
"504","35",504,"35.15","seq","40",".15",""
"505","19",505,"19.15","reduction","8",".15",""
"506","29",506,"29.15","reduction","20",".15",""
"507","34",507,"34.15","reduction","40",".15",""
"508","10",508,"10.15","seq","2",".15",""
"509","32",509,"32.15","critical","40",".15",""
"510","6",510,"6.15","base","2",".15",""
"511","23",511,"23.15","false_sharing","10",".15",""
"512","1",512,"1.15","base","1",".15",""
"513","26",513,"26.15","base","20",".15",""
"514","25",514,"25.15","seq","10",".15",""
"515","21",515,"21.15","base","10",".15",""
"516","33",516,"33.15","false_sharing","40",".15",""
"517","28",517,"28.15","false_sharing","20",".15",""
"518","30",518,"30.15","seq","20",".15",""
"519","24",519,"24.15","reduction","10",".15",""
"520","4",520,"4.15","reduction","1",".15",""
"521","18",521,"18.15","false_sharing","8",".15",""
"522","12",522,"12.15","critical","4",".15",""
"523","20",523,"20.15","seq","8",".15",""
"524","7",524,"7.15","critical","2",".15",""
"525","2",525,"2.15","critical","1",".15",""
"526","11",526,"11.16","base","4",".16",""
"527","31",527,"31.16","base","40",".16",""
"528","5",528,"5.16","seq","1",".16",""
"529","19",529,"19.16","reduction","8",".16",""
"530","12",530,"12.16","critical","4",".16",""
"531","24",531,"24.16","reduction","10",".16",""
"532","1",532,"1.16","base","1",".16",""
"533","10",533,"10.16","seq","2",".16",""
"534","32",534,"32.16","critical","40",".16",""
"535","35",535,"35.16","seq","40",".16",""
"536","8",536,"8.16","false_sharing","2",".16",""
"537","2",537,"2.16","critical","1",".16",""
"538","9",538,"9.16","reduction","2",".16",""
"539","17",539,"17.16","critical","8",".16",""
"540","22",540,"22.16","critical","10",".16",""
"541","20",541,"20.16","seq","8",".16",""
"542","34",542,"34.16","reduction","40",".16",""
"543","4",543,"4.16","reduction","1",".16",""
"544","28",544,"28.16","false_sharing","20",".16",""
"545","23",545,"23.16","false_sharing","10",".16",""
"546","18",546,"18.16","false_sharing","8",".16",""
"547","16",547,"16.16","base","8",".16",""
"548","25",548,"25.16","seq","10",".16",""
"549","7",549,"7.16","critical","2",".16",""
"550","6",550,"6.16","base","2",".16",""
"551","29",551,"29.16","reduction","20",".16",""
"552","21",552,"21.16","base","10",".16",""
"553","30",553,"30.16","seq","20",".16",""
"554","13",554,"13.16","false_sharing","4",".16",""
"555","3",555,"3.16","false_sharing","1",".16",""
"556","33",556,"33.16","false_sharing","40",".16",""
"557","15",557,"15.16","seq","4",".16",""
"558","26",558,"26.16","base","20",".16",""
"559","14",559,"14.16","reduction","4",".16",""
"560","27",560,"27.16","critical","20",".16",""
"561","32",561,"32.17","critical","40",".17",""
"562","8",562,"8.17","false_sharing","2",".17",""
"563","13",563,"13.17","false_sharing","4",".17",""
"564","22",564,"22.17","critical","10",".17",""
"565","5",565,"5.17","seq","1",".17",""
"566","15",566,"15.17","seq","4",".17",""
"567","24",567,"24.17","reduction","10",".17",""
"568","11",568,"11.17","base","4",".17",""
"569","27",569,"27.17","critical","20",".17",""
"570","21",570,"21.17","base","10",".17",""
"571","1",571,"1.17","base","1",".17",""
"572","7",572,"7.17","critical","2",".17",""
"573","35",573,"35.17","seq","40",".17",""
"574","17",574,"17.17","critical","8",".17",""
"575","23",575,"23.17","false_sharing","10",".17",""
"576","28",576,"28.17","false_sharing","20",".17",""
"577","30",577,"30.17","seq","20",".17",""
"578","18",578,"18.17","false_sharing","8",".17",""
"579","16",579,"16.17","base","8",".17",""
"580","9",580,"9.17","reduction","2",".17",""
"581","34",581,"34.17","reduction","40",".17",""
"582","19",582,"19.17","reduction","8",".17",""
"583","31",583,"31.17","base","40",".17",""
"584","3",584,"3.17","false_sharing","1",".17",""
"585","14",585,"14.17","reduction","4",".17",""
"586","33",586,"33.17","false_sharing","40",".17",""
"587","6",587,"6.17","base","2",".17",""
"588","10",588,"10.17","seq","2",".17",""
"589","12",589,"12.17","critical","4",".17",""
"590","25",590,"25.17","seq","10",".17",""
"591","4",591,"4.17","reduction","1",".17",""
"592","2",592,"2.17","critical","1",".17",""
"593","29",593,"29.17","reduction","20",".17",""
"594","26",594,"26.17","base","20",".17",""
"595","20",595,"20.17","seq","8",".17",""
