app,threads,metric,value,machine
false_sharing,1,time,1.923254,draco1
reduction,1,time,0.067103,draco1
seq,1,time,1.931811,draco1
base,2,time,1.892987,draco1
critical,2,time,1.002112,draco1
false_sharing,2,time,1.667514,draco1
reduction,2,time,1.102809,draco1
seq,2,time,1.931637,draco1
base,4,time,1.834283,draco1
critical,4,time,0.522456,draco1
false_sharing,4,time,0.904415,draco1
reduction,4,time,0.374825,draco1
seq,4,time,1.932050,draco1
base,8,time,1.808349,draco1
critical,8,time,0.261761,draco1
false_sharing,8,time,0.262484,draco1
reduction,8,time,0.205643,draco1
seq,8,time,1.931886,draco1
base,1,time,1.923778,draco1
critical,1,time,1.923256,draco1
false_sharing,1,time,1.923797,draco1
reduction,1,time,0.067151,draco1
seq,1,time,1.932394,draco1
base,2,time,1.821689,draco1
critical,2,time,1.002331,draco1
false_sharing,2,time,1.002566,draco1
reduction,2,time,1.081931,draco1
seq,2,time,1.931478,draco1
base,4,time,0.740521,draco1
critical,4,time,0.522259,draco1
false_sharing,4,time,0.522463,draco1
reduction,4,time,0.384420,draco1
seq,4,time,1.931443,draco1
base,8,time,1.816137,draco1
critical,8,time,0.261798,draco1
false_sharing,8,time,0.560546,draco1
reduction,8,time,0.184511,draco1
seq,8,time,1.931720,draco1
base,1,time,1.923713,draco1
critical,1,time,1.922719,draco1
false_sharing,1,time,1.922765,draco1
reduction,1,time,0.067122,draco1
seq,1,time,1.932403,draco1
base,2,time,1.849417,draco1
critical,2,time,1.001907,draco1
false_sharing,2,time,1.647633,draco1
reduction,2,time,1.068990,draco1
seq,2,time,1.932446,draco1
base,4,time,1.884943,draco1
critical,4,time,0.522258,draco1
false_sharing,4,time,0.522280,draco1
reduction,4,time,0.377691,draco1
seq,4,time,1.931558,draco1
base,8,time,0.710496,draco1
critical,8,time,0.261390,draco1
false_sharing,8,time,0.261391,draco1
reduction,8,time,0.197005,draco1
seq,8,time,1.931552,draco1
base,1,time,1.923268,draco1
critical,1,time,1.923416,draco1
false_sharing,1,time,1.924481,draco1
reduction,1,time,0.067108,draco1
seq,1,time,1.932792,draco1
base,2,time,1.889043,draco1
critical,2,time,1.002532,draco1
false_sharing,2,time,1.002316,draco1
reduction,2,time,1.067458,draco1
seq,2,time,1.932504,draco1
base,4,time,0.741106,draco1
critical,4,time,0.522491,draco1
false_sharing,4,time,0.903489,draco1
reduction,4,time,0.375150,draco1
seq,4,time,1.932812,draco1
base,8,time,0.714528,draco1
critical,8,time,0.261770,draco1
false_sharing,8,time,0.524388,draco1
reduction,8,time,0.185918,draco1
seq,8,time,1.931332,draco1
base,1,time,1.923458,draco1
critical,1,time,1.922816,draco1
false_sharing,1,time,1.923611,draco1
reduction,1,time,0.067144,draco1
seq,1,time,1.931773,draco1
base,2,time,1.492854,draco1
critical,2,time,1.002366,draco1
false_sharing,2,time,1.636887,draco1
reduction,2,time,1.071144,draco1
seq,2,time,1.933303,draco1
base,4,time,1.948060,draco1
critical,4,time,0.522508,draco1
false_sharing,4,time,0.992723,draco1
reduction,4,time,0.378941,draco1
seq,4,time,1.932427,draco1
base,8,time,0.786359,draco1
critical,8,time,0.261784,draco1
false_sharing,8,time,0.548428,draco1
reduction,8,time,0.199168,draco1
seq,8,time,1.932599,draco1
