app,threads,metric,value,machine
critical,1,time,1.611297,hype2
false_sharing,1,time,1.609297,hype2
reduction,1,time,0.049251,hype2
seq,1,time,1.610685,hype2
base,2,time,1.983361,hype2
critical,2,time,0.837547,hype2
false_sharing,2,time,0.822834,hype2
reduction,2,time,0.049037,hype2
seq,2,time,1.611029,hype2
base,4,time,1.364741,hype2
critical,4,time,0.423494,hype2
false_sharing,4,time,0.760987,hype2
reduction,4,time,0.049182,hype2
seq,4,time,1.610165,hype2
base,8,time,0.656544,hype2
critical,8,time,0.234616,hype2
false_sharing,8,time,0.230252,hype2
reduction,8,time,0.049173,hype2
seq,8,time,1.610803,hype2
base,10,time,0.754362,hype2
critical,10,time,0.193248,hype2
false_sharing,10,time,0.407601,hype2
reduction,10,time,0.049276,hype2
seq,10,time,1.610764,hype2
base,1,time,1.609622,hype2
critical,1,time,1.609316,hype2
false_sharing,1,time,1.609281,hype2
reduction,1,time,0.049094,hype2
seq,1,time,1.610191,hype2
base,2,time,0.838000,hype2
critical,2,time,0.838050,hype2
false_sharing,2,time,1.348228,hype2
reduction,2,time,0.049006,hype2
seq,2,time,1.610736,hype2
base,4,time,1.842549,hype2
critical,4,time,0.423771,hype2
false_sharing,4,time,0.806229,hype2
reduction,4,time,0.049491,hype2
seq,4,time,1.610656,hype2
base,8,time,0.848996,hype2
critical,8,time,0.234508,hype2
false_sharing,8,time,0.485280,hype2
reduction,8,time,0.049040,hype2
seq,8,time,1.610751,hype2
base,10,time,1.469538,hype2
critical,10,time,0.193542,hype2
false_sharing,10,time,0.415025,hype2
reduction,10,time,0.049255,hype2
seq,10,time,1.611450,hype2
base,1,time,1.610008,hype2
critical,1,time,1.609801,hype2
false_sharing,1,time,1.610157,hype2
reduction,1,time,0.049057,hype2
seq,1,time,1.640773,hype2
base,2,time,0.834770,hype2
critical,2,time,0.839492,hype2
false_sharing,2,time,0.823630,hype2
reduction,2,time,0.049328,hype2
seq,2,time,1.615183,hype2
base,4,time,0.854167,hype2
critical,4,time,0.424422,hype2
false_sharing,4,time,0.756608,hype2
reduction,4,time,0.049485,hype2
seq,4,time,1.614032,hype2
base,8,time,1.210333,hype2
critical,8,time,0.234473,hype2
false_sharing,8,time,0.494688,hype2
reduction,8,time,0.049023,hype2
seq,8,time,1.613270,hype2
base,10,time,1.241923,hype2
critical,10,time,0.193510,hype2
false_sharing,10,time,0.190548,hype2
reduction,10,time,0.049409,hype2
seq,10,time,1.615305,hype2
base,1,time,1.613238,hype2
critical,1,time,1.611377,hype2
false_sharing,1,time,1.611514,hype2
reduction,1,time,0.049321,hype2
seq,1,time,1.614239,hype2
base,2,time,1.986968,hype2
critical,2,time,0.838536,hype2
false_sharing,2,time,1.350404,hype2
reduction,2,time,0.049143,hype2
seq,2,time,1.611984,hype2
base,4,time,1.576083,hype2
critical,4,time,0.424892,hype2
false_sharing,4,time,0.815219,hype2
reduction,4,time,0.049211,hype2
seq,4,time,1.612468,hype2
base,8,time,1.220277,hype2
critical,8,time,0.234572,hype2
false_sharing,8,time,0.230385,hype2
reduction,8,time,0.048993,hype2
seq,8,time,1.613854,hype2
base,10,time,1.497473,hype2
critical,10,time,0.193361,hype2
false_sharing,10,time,0.406836,hype2
reduction,10,time,0.048941,hype2
seq,10,time,1.613074,hype2
base,1,time,1.614398,hype2
critical,1,time,1.612671,hype2
false_sharing,1,time,1.613162,hype2
reduction,1,time,0.049212,hype2
seq,1,time,1.614974,hype2
base,2,time,1.991696,hype2
critical,2,time,0.841868,hype2
false_sharing,2,time,1.351517,hype2
reduction,2,time,0.051642,hype2
seq,2,time,1.612532,hype2
base,4,time,1.045675,hype2
critical,4,time,0.425519,hype2
false_sharing,4,time,0.806904,hype2
reduction,4,time,0.049214,hype2
seq,4,time,1.612491,hype2
base,8,time,1.214811,hype2
critical,8,time,0.234474,hype2
