app,threads,metric,value,machine
reduction,8,time,0.107441,tupi2
seq,8,time,1.271993,tupi2
base,1,time,1.269584,tupi2
critical,1,time,1.270086,tupi2
false_sharing,1,time,1.270129,tupi2
reduction,1,time,0.107413,tupi2
seq,1,time,1.271517,tupi2
base,2,time,1.755868,tupi2
critical,2,time,0.653495,tupi2
false_sharing,2,time,0.661592,tupi2
reduction,2,time,0.107481,tupi2
seq,2,time,1.271628,tupi2
base,4,time,1.533285,tupi2
critical,4,time,0.336677,tupi2
false_sharing,4,time,0.728976,tupi2
reduction,4,time,0.107522,tupi2
seq,4,time,1.271821,tupi2
base,8,time,1.348735,tupi2
critical,8,time,0.187511,tupi2
false_sharing,8,time,0.187106,tupi2
reduction,8,time,0.107478,tupi2
seq,8,time,1.277211,tupi2
base,1,time,1.269829,tupi2
critical,1,time,1.270171,tupi2
false_sharing,1,time,1.269716,tupi2
reduction,1,time,0.107458,tupi2
seq,1,time,1.271960,tupi2
base,2,time,0.666264,tupi2
critical,2,time,0.653421,tupi2
false_sharing,2,time,1.080527,tupi2
reduction,2,time,0.107495,tupi2
seq,2,time,1.272213,tupi2
base,4,time,1.589981,tupi2
critical,4,time,0.336890,tupi2
false_sharing,4,time,0.773400,tupi2
reduction,4,time,0.107457,tupi2
seq,4,time,1.272246,tupi2
base,8,time,1.200122,tupi2
critical,8,time,0.187505,tupi2
false_sharing,8,time,0.466580,tupi2
reduction,8,time,0.107464,tupi2
seq,8,time,1.271818,tupi2
base,1,time,1.269619,tupi2
critical,1,time,1.269962,tupi2
false_sharing,1,time,1.269603,tupi2
reduction,1,time,0.107535,tupi2
seq,1,time,1.272421,tupi2
base,2,time,1.756385,tupi2
critical,2,time,0.654138,tupi2
false_sharing,2,time,0.662196,tupi2
reduction,2,time,0.107449,tupi2
seq,2,time,1.272523,tupi2
base,4,time,1.131883,tupi2
critical,4,time,0.359614,tupi2
false_sharing,4,time,0.815238,tupi2
reduction,4,time,0.107468,tupi2
seq,4,time,1.272264,tupi2
base,8,time,1.427810,tupi2
critical,8,time,0.187778,tupi2
false_sharing,8,time,0.498764,tupi2
reduction,8,time,0.107496,tupi2
seq,8,time,1.272012,tupi2
base,1,time,1.269527,tupi2
critical,1,time,1.269508,tupi2
false_sharing,1,time,1.269747,tupi2
reduction,1,time,0.107469,tupi2
seq,1,time,1.271994,tupi2
base,2,time,1.758921,tupi2
critical,2,time,0.653531,tupi2
false_sharing,2,time,1.081934,tupi2
reduction,2,time,0.107433,tupi2
seq,2,time,1.271872,tupi2
base,4,time,1.095288,tupi2
critical,4,time,0.337328,tupi2
false_sharing,4,time,0.335494,tupi2
reduction,4,time,0.107506,tupi2
seq,4,time,1.272359,tupi2
base,8,time,1.422434,tupi2
critical,8,time,0.187753,tupi2
false_sharing,8,time,0.446184,tupi2
reduction,8,time,0.107470,tupi2
seq,8,time,1.272372,tupi2
base,1,time,1.269378,tupi2
critical,1,time,1.269532,tupi2
false_sharing,1,time,1.270068,tupi2
reduction,1,time,0.107487,tupi2
seq,1,time,1.272454,tupi2
base,2,time,1.757161,tupi2
critical,2,time,0.655622,tupi2
false_sharing,2,time,1.081148,tupi2
reduction,2,time,0.107663,tupi2
seq,2,time,1.272055,tupi2
base,4,time,0.663135,tupi2
critical,4,time,0.337043,tupi2
false_sharing,4,time,0.729572,tupi2
reduction,4,time,0.107474,tupi2
seq,4,time,1.272146,tupi2
base,8,time,1.128504,tupi2
critical,8,time,0.187242,tupi2
false_sharing,8,time,0.456166,tupi2
reduction,8,time,0.107507,tupi2
seq,8,time,1.271700,tupi2
base,1,time,1.269448,tupi2
critical,1,time,1.269556,tupi2
false_sharing,1,time,1.269846,tupi2
reduction,1,time,0.107437,tupi2
seq,1,time,1.272184,tupi2
base,2,time,1.755290,tupi2
critical,2,time,0.653755,tupi2
false_sharing,2,time,1.080761,tupi2
reduction,2,time,0.107462,tupi2
seq,2,time,1.272292,tupi2
base,4,time,1.544204,tupi2
critical,4,time,0.337120,tupi2
false_sharing,4,time,0.336054,tupi2
reduction,4,time,0.107733,tupi2
seq,4,time,1.272129,tupi2
base,8,time,1.206904,tupi2
critical,8,time,0.187187,tupi2
false_sharing,8,time,0.459743,tupi2
reduction,8,time,0.107487,tupi2
seq,8,time,1.271904,tupi2
base,1,time,1.269442,tupi2
critical,1,time,1.269971,tupi2
false_sharing,1,time,1.269689,tupi2
reduction,1,time,0.107441,tupi2
seq,1,time,1.272115,tupi2
base,2,time,0.665377,tupi2
critical,2,time,0.655157,tupi2
false_sharing,2,time,0.662823,tupi2
reduction,2,time,0.107665,tupi2
seq,2,time,1.272739,tupi2
base,4,time,1.190984,tupi2
critical,4,time,0.337044,tupi2
false_sharing,4,time,0.335601,tupi2
reduction,4,time,0.107414,tupi2
seq,4,time,1.272519,tupi2
base,8,time,0.766269,tupi2
critical,8,time,0.187616,tupi2
false_sharing,8,time,0.450812,tupi2
reduction,8,time,0.107420,tupi2
seq,8,time,1.272484,tupi2
